kmeans_f1,method,dataset,noise_rate,model
0.13551401869158877,LavaEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1347517730496454,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1062618595825427,DVRL(rl_epochs=2000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1009009009009009,RandomEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.10048622366288493,InfluenceSubsample(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09532888465204957,AME(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0946969696969697,DataOob(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0916030534351145,LeaveOneOut(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.07944732297063903,DataBanzhaf(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.17216117216117216,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1662921348314607,LavaEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.11510791366906475,DataBanzhaf(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09737827715355805,InfluenceSubsample(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09507042253521127,DVRL(rl_epochs=2000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09352517985611511,RandomEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09276437847866419,DataOob(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09056603773584905,LeaveOneOut(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.15970961887477314,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.14957264957264957,LavaEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1092436974789916,DVRL(rl_epochs=2000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0748663101604278,InfluenceSubsample(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.07352941176470588,RandomEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.06972477064220184,DataOob(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,DataBanzhaf(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,LeaveOneOut(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.16901408450704225,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1425661914460285,LavaEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.10320284697508897,InfluenceSubsample(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09572649572649573,DataBanzhaf(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09541984732824428,AME(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09107468123861566,DVRL(rl_epochs=2000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08905380333951762,DataOob(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.07540394973070018,RandomEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.07304347826086957,LeaveOneOut(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.14957264957264957,LavaEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1366906474820144,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
